director_name,full_urls
Cristian Mungiu,imdb.com/name/nm0612816/?ref_=sr_t_1
Leos Carax,imdb.com/name/nm0136021/?ref_=sr_t_1
Claude Lanzmann,imdb.com/name/nm0487351/?ref_=sr_t_1
Paul Thomas Anderson,imdb.com/name/nm0000759/?ref_=sr_t_1
Kenneth Lonergan,imdb.com/name/nm0518836/?ref_=sr_t_1
Mary Harron,imdb.com/name/nm0366004/?ref_=sr_t_1
Jessica Hausner,imdb.com/name/nm0369618/?ref_=sr_t_1
Andrea Arnold,imdb.com/name/nm0036349/?ref_=sr_t_1
Richard Linklater,imdb.com/name/nm0000500/?ref_=sr_t_1
Pablo Larraín,imdb.com/name/nm1883257/?ref_=sr_t_1
Joel,imdb.com/name/nm1172478/?ref_=sr_t_1
Ethan Coen,imdb.com/name/nm0001053/?ref_=sr_t_1
Asghar Farhadi,imdb.com/name/nm1410815/?ref_=sr_t_1
Andrew Stanton,imdb.com/name/nm0004056/?ref_=sr_t_1
Lee Unkrich,imdb.com/name/nm0881279/?ref_=sr_t_1
Zhang Yimou,imdb.com/name/nm0955443/?ref_=sr_t_1
Martin Scorsese,imdb.com/name/nm0000217/?ref_=sr_t_1
Bong Joon-ho,imdb.com/name/nm0094435/?ref_=sr_t_1
Paul Greengrass,imdb.com/name/nm0339030/?ref_=sr_t_1
Steven Soderbergh,imdb.com/name/nm0001752/?ref_=sr_t_1
Danièle Huillet,imdb.com/name/nm0401247/?ref_=sr_t_1
Jean-Marie Straub,imdb.com/name/nm0833708/?ref_=sr_t_1
Marco Bellocchio,imdb.com/name/nm0069166/?ref_=sr_t_1
Michelangelo Frammartino,imdb.com/name/nm1506005/?ref_=sr_t_1
Ermanno Olmi,imdb.com/name/nm0647438/?ref_=sr_t_1
Paolo Benvenuti,imdb.com/name/nm0073047/?ref_=sr_t_1
Franco Piavoli,imdb.com/name/nm0681311/?ref_=sr_t_1
Pippo Delbono,imdb.com/name/nm2647632/?ref_=sr_t_1
Marco De Angelis,imdb.com/name/nm3042162/?ref_=sr_t_1
Antonio Di Trapani,imdb.com/name/nm3721431/?ref_=sr_t_1
Yervant Gianikian,imdb.com/name/nm0316214/?ref_=sr_t_1
Angela Ricci Lucchi,imdb.com/name/nm0723187/?ref_=sr_t_1
Charlie Kaufman,imdb.com/name/nm0442109/?ref_=sr_t_1
Darren Aronofsky,imdb.com/name/nm0004716/?ref_=sr_t_1
Rick Alverson,imdb.com/name/nm3687830/?ref_=sr_t_1
Lars von Trier,imdb.com/name/nm0001885/?ref_=sr_t_1
Quentin Tarantino,imdb.com/name/nm0000233/?ref_=sr_t_1
Jim Jarmusch,imdb.com/name/nm0000464/?ref_=sr_t_1
Ari Folman,imdb.com/name/nm0284369/?ref_=sr_t_1
Spike Lee,imdb.com/name/nm0000490/?ref_=sr_t_1
Michael Winterbottom,imdb.com/name/nm0935863/?ref_=sr_t_1
Nuri Bilge Ceylan,imdb.com/name/nm0149196/?ref_=sr_t_1
David Fincher,imdb.com/name/nm0000399/?ref_=sr_t_1
Tomas Alfredson,imdb.com/name/nm0019247/?ref_=sr_t_1
Shane Carruth,imdb.com/name/nm1503403/?ref_=sr_t_1
Paris,imdb.com/name/nm1336920/?ref_=sr_t_1
Spike Jonze,imdb.com/name/nm0005069/?ref_=sr_t_1
Carlos Reygadas,imdb.com/name/nm1196161/?ref_=sr_t_1
Alfonso Cuarón,imdb.com/name/nm0190859/?ref_=sr_t_1
Fernando Meirelles,imdb.com/name/nm0576987/?ref_=sr_t_1
Kátia Lund,imdb.com/name/nm0526199/?ref_=sr_t_1
Brad Bird,imdb.com/name/nm0083348/?ref_=sr_t_1
Ang Lee,imdb.com/name/nm0000487/?ref_=sr_t_1
Steve McQueen,imdb.com/name/nm0000537/?ref_=sr_t_1
Xavier Dolan,imdb.com/name/nm0230859/?ref_=sr_t_1
Pedro Almodóvar,imdb.com/name/nm0000264/?ref_=sr_t_1
Abderrahmane Sissako,imdb.com/name/nm0803066/?ref_=sr_t_1
Ava DuVernay,imdb.com/name/nm1148550/?ref_=sr_t_1
Lucrecia Martel,imdb.com/name/nm0551506/?ref_=sr_t_1
Todd Haynes,imdb.com/name/nm0001331/?ref_=sr_t_1
Sofia Coppola,imdb.com/name/nm0001068/?ref_=sr_t_1
Tom Ford,imdb.com/name/nm1053530/?ref_=sr_t_1
Lee Unkrich,imdb.com/name/nm0881279/?ref_=sr_t_1
Luca Guadagnino,imdb.com/name/nm0345174/?ref_=sr_t_1
Richard Kelly,imdb.com/name/nm0446819/?ref_=sr_t_1
Evan Goldberg,imdb.com/name/nm1698571/?ref_=sr_t_1
Seth Rogen,imdb.com/name/nm0736622/?ref_=sr_t_1
Chantal Akerman,imdb.com/name/nm0001901/?ref_=sr_t_1
Jacques Rivette,imdb.com/name/nm0729626/?ref_=sr_t_1
Jonathan Glazer,imdb.com/name/nm0322242/?ref_=sr_t_1
Duke Johnson,imdb.com/name/nm2122478/?ref_=sr_t_1
Charlie Kaufman,imdb.com/name/nm0442109/?ref_=sr_t_1
Conrad Vernon,imdb.com/name/nm0970447/?ref_=sr_t_1
Mike Leigh,imdb.com/name/nm0005139/?ref_=sr_t_1
Julian Schnabel,imdb.com/name/nm0773603/?ref_=sr_t_1
Andrew Stanton,imdb.com/name/nm0004056/?ref_=sr_t_1
Nanni Moretti,imdb.com/name/nm0604335/?ref_=sr_t_1
Mariano Llinás,imdb.com/name/nm1183471/?ref_=sr_t_1
Hou Hsiao-hsien,imdb.com/name/nm0396284/?ref_=sr_t_1
Clint Eastwood,imdb.com/name/nm0000142/?ref_=sr_t_1
Andrey Zvyagintsev,imdb.com/name/nm1168657/?ref_=sr_t_1
Jacques Audiard,imdb.com/name/nm0002191/?ref_=sr_t_1
Abdellatif Kechiche,imdb.com/name/nm0444244/?ref_=sr_t_1
Juan José Campanella,imdb.com/name/nm0002728/?ref_=sr_t_1
Park Chan-wook,imdb.com/name/nm0661791/?ref_=sr_t_1
Catherine Breillat,imdb.com/name/nm0106924/?ref_=sr_t_1
Thomas Vinterberg,imdb.com/name/nm0899121/?ref_=sr_t_1
Harmony Korine,imdb.com/name/nm0005101/?ref_=sr_t_1
Guy Maddin,imdb.com/name/nm0534665/?ref_=sr_t_1
Roman Polanski,imdb.com/name/nm0000591/?ref_=sr_t_1
Baz Luhrmann,imdb.com/name/nm0525303/?ref_=sr_t_1
George Lucas,imdb.com/name/nm0000184/?ref_=sr_t_1
Pacho Velez,imdb.com/name/nm1381945/?ref_=sr_t_1
Stephanie Spray,imdb.com/name/nm5856477/?ref_=sr_t_1
Roy Andersson,imdb.com/name/nm0027815/?ref_=sr_t_1
Ousmane Sembène,imdb.com/name/nm0783733/?ref_=sr_t_1
Jihan El-Tahri,imdb.com/name/nm1911613/?ref_=sr_t_1
Mahamat-Saleh Haroun,imdb.com/name/nm0757958/?ref_=sr_t_1
Ngozi Onwurah,imdb.com/name/nm0648937/?ref_=sr_t_1
Bazi Gete,imdb.com/name/nm6514631/?ref_=sr_t_1
Jean-Marie Téno,imdb.com/name/nm0879403/?ref_=sr_t_1
Andrew Dosunmu,imdb.com/name/nm0234506/?ref_=sr_t_1
Khalo Matabane,imdb.com/name/nm1988834/?ref_=sr_t_1
Amma Asante,imdb.com/name/nm1392994/?ref_=sr_t_1
Jean-Pierre,imdb.com/name/nm0000466/?ref_=sr_t_1
Luc Dardenne,imdb.com/name/nm0201095/?ref_=sr_t_1
Gaspar Noé,imdb.com/name/nm0637615/?ref_=sr_t_1
Mira Nair,imdb.com/name/nm0619762/?ref_=sr_t_1
László Nemes,imdb.com/name/nm1841577/?ref_=sr_t_1
Raam Reddy,imdb.com/name/nm5339365/?ref_=sr_t_1
Danis Tanovic,imdb.com/name/nm0849786/?ref_=sr_t_1
Josephine Decker,imdb.com/name/nm2528451/?ref_=sr_t_1
Josh,imdb.com/name/nm1242688/?ref_=sr_t_1
Benny Safdie,imdb.com/name/nm1509478/?ref_=sr_t_1
Miranda July,imdb.com/name/nm0432380/?ref_=sr_t_1
Sara Fattahi,imdb.com/name/nm7986571/?ref_=sr_t_1
Avi Nesher,imdb.com/name/nm0383605/?ref_=sr_t_1
Joseph Cedar,imdb.com/name/nm0147737/?ref_=sr_t_1
Eytan Fox,imdb.com/name/nm0297202/?ref_=sr_t_1
Jennifer Kent,imdb.com/name/nm0448768/?ref_=sr_t_1
Kim Ki-duk,imdb.com/name/nm1104118/?ref_=sr_t_1
Aleksandr Sokurov,imdb.com/name/nm0812546/?ref_=sr_t_1
Pete Docter,imdb.com/name/nm0230032/?ref_=sr_t_1
Vincent Paronnaud,imdb.com/name/nm1749112/?ref_=sr_t_1
Marjane Satrapi,imdb.com/name/nm2277869/?ref_=sr_t_1
George Miller,imdb.com/name/nm0004306/?ref_=sr_t_1
Joe Cornish,imdb.com/name/nm0180428/?ref_=sr_t_1
Brad Bird,imdb.com/name/nm0083348/?ref_=sr_t_1
Jan Pinkava,imdb.com/name/nm0684342/?ref_=sr_t_1
Steven Spielberg,imdb.com/name/nm0000229/?ref_=sr_t_1
Lee Chang-dong,imdb.com/name/nm0496969/?ref_=sr_t_1
Claire Denis,imdb.com/name/nm0219136/?ref_=sr_t_1
Tommy Lee Jones,imdb.com/name/nm0000169/?ref_=sr_t_1
Takeshi Kitano,imdb.com/name/nm0001429/?ref_=sr_t_1
Alain Gomis,imdb.com/name/nm0327120/?ref_=sr_t_1
Ken Loach,imdb.com/name/nm0516360/?ref_=sr_t_1
Newton I. Aduaka,imdb.com/name/nm0012529/?ref_=sr_t_1
Cameron Crowe,imdb.com/name/nm0001081/?ref_=sr_t_1
Aleksey German,imdb.com/name/nm0314516/?ref_=sr_t_1
Larry Charles,imdb.com/name/nm0153078/?ref_=sr_t_1
Don Hertzfeldt,imdb.com/name/nm0381116/?ref_=sr_t_1
Alex Garland,imdb.com/name/nm0307497/?ref_=sr_t_1
Joss Whedon,imdb.com/name/nm0923736/?ref_=sr_t_1
Neill Blomkamp,imdb.com/name/nm0088955/?ref_=sr_t_1
Whit Stillman,imdb.com/name/nm0001775/?ref_=sr_t_1
Lav Diaz,imdb.com/name/nm0225010/?ref_=sr_t_1
Kiyoshi Kurosawa,imdb.com/name/nm0475905/?ref_=sr_t_1
Takahisa Zeze,imdb.com/name/nm0955270/?ref_=sr_t_1
David O. Russell,imdb.com/name/nm0751102/?ref_=sr_t_1
Susanne Bier,imdb.com/name/nm0081540/?ref_=sr_t_1
Jørgen Leth,imdb.com/name/nm0504654/?ref_=sr_t_1
Lars von Trier,imdb.com/name/nm0001885/?ref_=sr_t_1
Paweł Pawlikowski,imdb.com/name/nm0667734/?ref_=sr_t_1
Damián Szifrón,imdb.com/name/nm1167933/?ref_=sr_t_1
Bouli Lanners,imdb.com/name/nm0099521/?ref_=sr_t_1
John Akomfrah,imdb.com/name/nm0015497/?ref_=sr_t_1
Judy Kibinge,imdb.com/name/nm1834196/?ref_=sr_t_1
Samba Gadjigo,imdb.com/name/nm7046188/?ref_=sr_t_1
Jason Silverman,imdb.com/name/nm0798918/?ref_=sr_t_1
Emad Burnat,imdb.com/name/nm4796818/?ref_=sr_t_1
Guy Davidi,imdb.com/name/nm1519079/?ref_=sr_t_1
Nanfu Wang,imdb.com/name/nm6811599/?ref_=sr_t_1
Kelvin Tong,imdb.com/name/nm0867210/?ref_=sr_t_1
Andrew Haigh,imdb.com/name/nm0354091/?ref_=sr_t_1
David France,imdb.com/name/nm0289800/?ref_=sr_t_1
Robert Pulcini,imdb.com/name/nm0700301/?ref_=sr_t_1
Shari Springer Berman,imdb.com/name/nm0075849/?ref_=sr_t_1
Travis Wilkerson,imdb.com/name/nm1288933/?ref_=sr_t_1
Gina Prince-Bythewood,imdb.com/name/nm0697656/?ref_=sr_t_1
Robert Greene,imdb.com/name/nm1914992/?ref_=sr_t_1
Jacob Krupnick,imdb.com/name/nm4937026/?ref_=sr_t_1
Michael Mann,imdb.com/name/nm0000520/?ref_=sr_t_1
John Crowley,imdb.com/name/nm1259871/?ref_=sr_t_1
Dan Gilroy,imdb.com/name/nm0319659/?ref_=sr_t_1
Jeff Nichols,imdb.com/name/nm2158772/?ref_=sr_t_1
Asif Kapadia,imdb.com/name/nm0438090/?ref_=sr_t_1
Noah Baumbach,imdb.com/name/nm0000876/?ref_=sr_t_1
Yorgos Lanthimos,imdb.com/name/nm0487166/?ref_=sr_t_1
Andrzej Wajda,imdb.com/name/nm0906667/?ref_=sr_t_1
Joanna Hogg,imdb.com/name/nm0389712/?ref_=sr_t_1
Elia Suleiman,imdb.com/name/nm0837839/?ref_=sr_t_1
Jafar Panahi,imdb.com/name/nm0070159/?ref_=sr_t_1
Sam Raimi,imdb.com/name/nm0000600/?ref_=sr_t_1
Chris Buck,imdb.com/name/nm0118333/?ref_=sr_t_1
Jennifer Lee,imdb.com/name/nm1601644/?ref_=sr_t_1
Edgar Wright,imdb.com/name/nm0942367/?ref_=sr_t_1
Fatih Akin,imdb.com/name/nm0015359/?ref_=sr_t_1
Alexander Payne,imdb.com/name/nm0668247/?ref_=sr_t_1
Destin Daniel Cretton,imdb.com/name/nm2308774/?ref_=sr_t_1
Derek Cianfrance,imdb.com/name/nm0161834/?ref_=sr_t_1
Fabián Bielinsky,imdb.com/name/nm0081433/?ref_=sr_t_1
Hong Sang-soo,imdb.com/name/nm0393254/?ref_=sr_t_1
Greg Mottola,imdb.com/name/nm0609549/?ref_=sr_t_1
Kevin Costner,imdb.com/name/nm0000126/?ref_=sr_t_1
John Gianvito,imdb.com/name/nm1072936/?ref_=sr_t_1
Frederick Wiseman,imdb.com/name/nm0936464/?ref_=sr_t_1
Sion Sono,imdb.com/name/nm0814469/?ref_=sr_t_1
Denis Villeneuve,imdb.com/name/nm0898288/?ref_=sr_t_1
Damien Chazelle,imdb.com/name/nm3227090/?ref_=sr_t_1
David Michôd,imdb.com/name/nm2391575/?ref_=sr_t_1
Mel Gibson,imdb.com/name/nm0000154/?ref_=sr_t_1
Stevan Riley,imdb.com/name/nm2257147/?ref_=sr_t_1
Adam McKay,imdb.com/name/nm0570912/?ref_=sr_t_1
Paul Feig,imdb.com/name/nm0082450/?ref_=sr_t_1
Lynne Ramsay,imdb.com/name/nm0708903/?ref_=sr_t_1
Miguel Arteta,imdb.com/name/nm0037708/?ref_=sr_t_1
Ridley Scott,imdb.com/name/nm0000631/?ref_=sr_t_1
Adam Curtis,imdb.com/name/nm0193231/?ref_=sr_t_1
Lukas Moodysson,imdb.com/name/nm0600546/?ref_=sr_t_1
Brian De Palma,imdb.com/name/nm0000361/?ref_=sr_t_1
Mojtaba Mirtahmasb,imdb.com/name/nm0592554/?ref_=sr_t_1
Jafar Panahi,imdb.com/name/nm0070159/?ref_=sr_t_1
James Gray,imdb.com/name/nm0336695/?ref_=sr_t_1
Laurie Anderson,imdb.com/name/nm0002173/?ref_=sr_t_1
Florian Henckel von Donnersmarck,imdb.com/name/nm0003697/?ref_=sr_t_1
Béla Tarr,imdb.com/name/nm0850601/?ref_=sr_t_1
Ágnes Hranitzky,imdb.com/name/nm0398555/?ref_=sr_t_1
Jean-Gabriel Périot,imdb.com/name/nm1516014/?ref_=sr_t_1
Alain Guiraudie,imdb.com/name/nm0347492/?ref_=sr_t_1
Pedro Costa,imdb.com/name/nm0182276/?ref_=sr_t_1
Albert Serra,imdb.com/name/nm2247200/?ref_=sr_t_1
Cristi Puiu,imdb.com/name/nm1090998/?ref_=sr_t_1
Ingmar Bergman,imdb.com/name/nm0000005/?ref_=sr_t_1
Ulrich Seidl,imdb.com/name/nm0782430/?ref_=sr_t_1
Wang Bing,imdb.com/name/nm1504063/?ref_=sr_t_1
Alain Cavalier,imdb.com/name/nm0146760/?ref_=sr_t_1
Ken Jacobs,imdb.com/name/nm0414499/?ref_=sr_t_1
Phil Solomon,imdb.com/name/nm0994047/?ref_=sr_t_1
Lewis Klahr,imdb.com/name/nm0458185/?ref_=sr_t_1
Janie Geiser,imdb.com/name/nm0312026/?ref_=sr_t_1
Nikolaus Geyrhalter,imdb.com/name/nm0315430/?ref_=sr_t_1
Rajat Kapoor,imdb.com/name/nm0438494/?ref_=sr_t_1
Chaitanya Tamhane,imdb.com/name/nm4058904/?ref_=sr_t_1
Dibakar Banerjee,imdb.com/name/nm1962313/?ref_=sr_t_1
Anurag Kashyap,imdb.com/name/nm0440604/?ref_=sr_t_1
Tigmanshu Dhulia,imdb.com/name/nm0223606/?ref_=sr_t_1
Vikramaditya Motwane,imdb.com/name/nm0003939/?ref_=sr_t_1
Sudhir Mishra,imdb.com/name/nm0592803/?ref_=sr_t_1
Vishal Bhardwaj,imdb.com/name/nm0080235/?ref_=sr_t_1
Ashutosh Gowariker,imdb.com/name/nm0332950/?ref_=sr_t_1
Éric Rohmer,imdb.com/name/nm0006445/?ref_=sr_t_1
Aleksey Fedorchenko,imdb.com/name/nm1922735/?ref_=sr_t_1
Michael Bay,imdb.com/name/nm0000881/?ref_=sr_t_1
Ryan Coogler,imdb.com/name/nm3363032/?ref_=sr_t_1
Rian Johnson,imdb.com/name/nm0426059/?ref_=sr_t_1
Tsai Ming-liang,imdb.com/name/nm0158857/?ref_=sr_t_1
Sean Baker,imdb.com/name/nm0048918/?ref_=sr_t_1
Tony Scott,imdb.com/name/nm0001716/?ref_=sr_t_1
Carol Morley,imdb.com/name/nm1345246/?ref_=sr_t_1
Agnès Varda,imdb.com/name/nm0889513/?ref_=sr_t_1
Raoul Peck,imdb.com/name/nm0669704/?ref_=sr_t_1
Gabriela Pichler,imdb.com/name/nm3307527/?ref_=sr_t_1
J. J. Abrams,imdb.com/name/nm9851140/?ref_=sr_t_1
Xavier Beauvois,imdb.com/name/nm0064741/?ref_=sr_t_1
Philip Gröning,imdb.com/name/nm0344973/?ref_=sr_t_1
Benh Zeitlin,imdb.com/name/nm1022455/?ref_=sr_t_1
Mike Judge,imdb.com/name/nm0431918/?ref_=sr_t_1
Tony Gilroy,imdb.com/name/nm0006904/?ref_=sr_t_1
Gerhard Benedikt Friedl,imdb.com/name/nm0295068/?ref_=sr_t_1
Valeska Grisebach,imdb.com/name/nm1007136/?ref_=sr_t_1
David O'Reilly,imdb.com/name/nm2988528/?ref_=sr_t_1
Maren Ade,imdb.com/name/nm0011752/?ref_=sr_t_1
Norbert Pfaffenbichler,imdb.com/name/nm1114961/?ref_=sr_t_1
George Clooney,imdb.com/name/nm0000123/?ref_=sr_t_1
Philip Kaufman,imdb.com/name/nm0442241/?ref_=sr_t_1
Wayne Blair,imdb.com/name/nm0992370/?ref_=sr_t_1
Nadine Labaki,imdb.com/name/nm1701024/?ref_=sr_t_1
Scandar Copti,imdb.com/name/nm2738713/?ref_=sr_t_1
Yaron Shani,imdb.com/name/nm1760871/?ref_=sr_t_1
Shimit Amin,imdb.com/name/nm0024912/?ref_=sr_t_1
Jean-Pierre Jeunet,imdb.com/name/nm0000466/?ref_=sr_t_1
James Cameron,imdb.com/name/nm0000116/?ref_=sr_t_1
Paolo Sorrentino,imdb.com/name/nm0815204/?ref_=sr_t_1
Mia Hansen-Løve,imdb.com/name/nm0361135/?ref_=sr_t_1
Terry Zwigoff,imdb.com/name/nm0959062/?ref_=sr_t_1
Kelly Reichardt,imdb.com/name/nm0716980/?ref_=sr_t_1
Arnaud Desplechin,imdb.com/name/nm0221611/?ref_=sr_t_1
Olivier Assayas,imdb.com/name/nm0000801/?ref_=sr_t_1
Víctor Gaviria,imdb.com/name/nm0310597/?ref_=sr_t_1
Philippe Garrel,imdb.com/name/nm0308042/?ref_=sr_t_1
Jean-Charles Fitoussi,imdb.com/name/nm0280083/?ref_=sr_t_1
Christian Petzold,imdb.com/name/nm0678857/?ref_=sr_t_1
Jonas Mekas,imdb.com/name/nm0577263/?ref_=sr_t_1
Michel Hazanavicius,imdb.com/name/nm0371890/?ref_=sr_t_1
Tom Hooper,imdb.com/name/nm0393799/?ref_=sr_t_1
Jean-Marc Vallée,imdb.com/name/nm0885249/?ref_=sr_t_1
Bahman Ghobadi,imdb.com/name/nm0315842/?ref_=sr_t_1
Rachid Bouchareb,imdb.com/name/nm0098953/?ref_=sr_t_1
Andrzej Zulawski,imdb.com/name/nm0958558/?ref_=sr_t_1
François Ozon,imdb.com/name/nm0654830/?ref_=sr_t_1
Corneliu Porumboiu,imdb.com/name/nm1717949/?ref_=sr_t_1
Jeff Tremaine,imdb.com/name/nm0871860/?ref_=sr_t_1
Peter Mullan,imdb.com/name/nm0611932/?ref_=sr_t_1
David Wain,imdb.com/name/nm0906476/?ref_=sr_t_1
Robert Zemeckis,imdb.com/name/nm0000709/?ref_=sr_t_1
Satoshi Kon,imdb.com/name/nm0464804/?ref_=sr_t_1
Terry George,imdb.com/name/nm0313623/?ref_=sr_t_1
Debra Granik,imdb.com/name/nm0335138/?ref_=sr_t_1
Duncan Jones,imdb.com/name/nm1512910/?ref_=sr_t_1
Agnès Jaoui,imdb.com/name/nm0418450/?ref_=sr_t_1
Andrew Dominik,imdb.com/name/nm0231596/?ref_=sr_t_1
Peter Jackson,imdb.com/name/nm0001392/?ref_=sr_t_1
Nouri Bouzid,imdb.com/name/nm0100525/?ref_=sr_t_1
Rehad Desai,imdb.com/name/nm2390834/?ref_=sr_t_1
Mohamed Diab,imdb.com/name/nm2559996/?ref_=sr_t_1
Oliver Schmitz,imdb.com/name/nm0005628/?ref_=sr_t_1
Tom McCarthy,imdb.com/name/nm0565336/?ref_=sr_t_1
Dror Moreh,imdb.com/name/nm0603466/?ref_=sr_t_1
Thom Andersen,imdb.com/name/nm0026263/?ref_=sr_t_1
Mark Neveldine,imdb.com/name/nm0004410/?ref_=sr_t_1
Brian Taylor,imdb.com/name/nm0962729/?ref_=sr_t_1
Patricio Guzmán,imdb.com/name/nm0350099/?ref_=sr_t_1
Víctor Erice,imdb.com/name/nm0258977/?ref_=sr_t_1
Stephen Chow,imdb.com/name/nm0159507/?ref_=sr_t_1
Peter Tscherkassky,imdb.com/name/nm0874787/?ref_=sr_t_1
Philippe Grandrieux,imdb.com/name/nm0334930/?ref_=sr_t_1
Joseph Kahn,imdb.com/name/nm0994538/?ref_=sr_t_1
Rita Azevedo Gomes,imdb.com/name/nm0326946/?ref_=sr_t_1
Sidney Lumet,imdb.com/name/nm0001486/?ref_=sr_t_1
Woody Allen,imdb.com/name/nm0000095/?ref_=sr_t_1
Alain Resnais,imdb.com/name/nm0720297/?ref_=sr_t_1
Manoel de Oliveira,imdb.com/name/nm0210701/?ref_=sr_t_1
Michelangelo Antonioni,imdb.com/name/nm0000774/?ref_=sr_t_1
Charles Burnett,imdb.com/name/nm0122344/?ref_=sr_t_1
John Cameron Mitchell,imdb.com/name/nm0593463/?ref_=sr_t_1
Kinji Fukasaku,imdb.com/name/nm0297935/?ref_=sr_t_1
André Singer,imdb.com/name/nm0801885/?ref_=sr_t_1
Christopher Guest,imdb.com/name/nm0001302/?ref_=sr_t_1
Wolfgang Becker,imdb.com/name/nm0065615/?ref_=sr_t_1
Uli Edel,imdb.com/name/nm0248942/?ref_=sr_t_1
Nick Cassavetes,imdb.com/name/nm0001024/?ref_=sr_t_1
Jason Reitman,imdb.com/name/nm0718646/?ref_=sr_t_1
Ben Stiller,imdb.com/name/nm0001774/?ref_=sr_t_1
Stephen Frears,imdb.com/name/nm0001241/?ref_=sr_t_1
Bart Layton,imdb.com/name/nm1717925/?ref_=sr_t_1
Ana Lily Amirpour,imdb.com/name/nm3235877/?ref_=sr_t_1
S. Craig Zahler,imdb.com/name/nm0951975/?ref_=sr_t_1
Luke Fowler,imdb.com/name/nm4917815/?ref_=sr_t_1
Terence Davies,imdb.com/name/nm0203993/?ref_=sr_t_1
Steven Knight,imdb.com/name/nm1140275/?ref_=sr_t_1
Cary Joji Fukunaga,imdb.com/name/nm1560977/?ref_=sr_t_1
James Marsh,imdb.com/name/nm1016428/?ref_=sr_t_1
Ben Rivers,imdb.com/name/nm4234237/?ref_=sr_t_1
Pietro Marcello,imdb.com/name/nm2754122/?ref_=sr_t_1
Naomi Kawase,imdb.com/name/nm0442905/?ref_=sr_t_1
Francis Ford Coppola,imdb.com/name/nm0000338/?ref_=sr_t_1
João Pedro Rodrigues,imdb.com/name/nm0735134/?ref_=sr_t_1
Nina Paley,imdb.com/name/nm1315434/?ref_=sr_t_1
Gurinder Chadha,imdb.com/name/nm0149446/?ref_=sr_t_1
Hany Abu-Assad,imdb.com/name/nm0009463/?ref_=sr_t_1
Sam Mendes,imdb.com/name/nm0005222/?ref_=sr_t_1
Peter Weir,imdb.com/name/nm0001837/?ref_=sr_t_1
Tomm Moore,imdb.com/name/nm1119079/?ref_=sr_t_1
Lee Unkrich,imdb.com/name/nm0881279/?ref_=sr_t_1
Clio Barnard,imdb.com/name/nm1163237/?ref_=sr_t_1
Christian Marclay,imdb.com/name/nm3827692/?ref_=sr_t_1
Patty Jenkins,imdb.com/name/nm0420941/?ref_=sr_t_1
Roberto Benigni,imdb.com/name/nm0000905/?ref_=sr_t_1
Eran Riklis,imdb.com/name/nm0726954/?ref_=sr_t_1
Annemarie Jacir,imdb.com/name/nm1486975/?ref_=sr_t_1
Ramin Bahrani,imdb.com/name/nm1023919/?ref_=sr_t_1
Yann Arthus-Bertrand,imdb.com/name/nm0037867/?ref_=sr_t_1
Nicolas Winding Refn,imdb.com/name/nm0716347/?ref_=sr_t_1
Andrew Lau,imdb.com/name/nm0490487/?ref_=sr_t_1
Alan Mak,imdb.com/name/nm0538320/?ref_=sr_t_1
Andrew Adamson,imdb.com/name/nm0011470/?ref_=sr_t_1
Vicky Jenson,imdb.com/name/nm0421776/?ref_=sr_t_1
Ossama Mohammed,imdb.com/name/nm0611256/?ref_=sr_t_1
Mani Haghighi,imdb.com/name/nm2155679/?ref_=sr_t_1
Mohamed Soueid,imdb.com/name/nm12496991/?ref_=sr_t_1
